,City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
0,Port Hardy,CA,1570399836,50.7,-127.42,90,93,50.0,8.05
1,Marsabit,KE,1570399871,2.34,37.99,57,47,83.54,13.0
2,Chapais,CA,1570399634,49.78,-74.86,90,93,48.2,17.22
3,Kapaa,US,1570399596,22.08,-159.32,1,69,82.4,9.17
4,Srednekolymsk,RU,1570399873,67.46,153.71,0,87,11.51,5.84
5,Sao Joao da Barra,BR,1570399849,-21.64,-41.05,40,83,75.2,18.34
6,Estelle,FR,1570399877,43.97,3.47,0,52,66.0,25.28
7,Rikitea,PF,1570399738,-23.12,-134.97,100,88,73.41,8.68
8,Tshikapa,CD,1570399880,-6.42,20.79,37,81,72.78,1.95
9,Jamestown,AU,1570399845,-33.21,138.6,100,92,52.87,6.67
10,Bathsheba,BB,1570399883,13.22,-59.52,75,70,86.0,16.11
11,Saint-Pierre,FR,1570399885,48.95,4.24,65,87,54.0,13.87
12,Barrow,AR,1570399765,-38.31,-60.23,100,45,67.02,13.6
13,Teya,MX,1570399887,21.05,-89.07,75,66,89.01,5.82
14,Port Elizabeth,US,1570399889,39.31,-74.98,90,68,73.4,8.05
15,Oranjestad,AW,1570399846,12.52,-70.03,20,66,87.8,20.8
16,Clyde River,CA,1570399892,70.47,-68.59,40,74,28.4,6.93
17,Ushuaia,AR,1570399893,-54.81,-68.31,100,94,33.67,8.46
18,Kalundborg,DK,1570399894,55.68,11.1,0,74,41.0,4.7
19,Mataura,NZ,1570399896,-46.19,168.86,84,82,51.01,4.0
20,Ixtapa,MX,1570399897,20.71,-105.21,75,75,89.6,9.17
21,East London,ZA,1570399898,-33.02,27.91,100,91,61.1,4.29
22,Tutoia,BR,1570399900,-2.76,-42.27,42,75,78.47,9.08
23,Yellowknife,CA,1570399706,62.45,-114.38,75,87,44.6,12.75
24,Avarua,CK,1570399902,-21.21,-159.78,100,53,71.6,8.05
25,Juanjui,PE,1570399904,-7.18,-76.73,76,48,84.57,3.65
26,Palana,RU,1570399905,59.08,159.95,100,96,34.73,48.14
27,Butaritari,KI,1570399766,3.07,172.79,10,66,84.64,4.94
28,Cape Town,ZA,1570399834,-33.93,18.42,75,82,62.01,6.93
29,New Norfolk,AU,1570399612,-42.78,147.06,40,58,54.0,8.05
30,Tasiilaq,GL,1570399783,65.61,-37.64,100,87,42.8,7.16
31,Kodiak,US,1570399630,39.95,-94.76,1,37,66.2,9.17
32,Nanortalik,GL,1570399914,60.14,-45.24,0,81,39.77,1.86
33,Ribeira Grande,PT,1570399915,38.52,-28.7,98,89,72.13,19.82
34,Busselton,AU,1570399917,-33.64,115.35,0,72,50.0,10.98
35,Concordia,AR,1570399918,-31.4,-58.02,0,44,68.0,7.0
36,Cayenne,GF,1570399920,4.94,-52.33,0,88,80.6,6.8
37,Angoche,MZ,1570399921,-16.23,39.91,19,84,73.55,3.74
38,Kavieng,PG,1570399922,-2.57,150.8,73,72,83.18,7.2
39,Ancud,CL,1570399861,-41.87,-73.83,75,62,53.6,13.87
40,Goderich,CA,1570399867,43.74,-81.71,0,67,62.01,10.0
41,Dawlatabad,AF,1570399926,36.41,64.91,33,65,52.04,3.18
42,Cabo San Lucas,MX,1570399657,22.89,-109.91,5,49,91.0,4.7
43,Ponta do Sol,BR,1570399929,-20.63,-46.0,69,50,76.6,3.96
44,Burnie,AU,1570399930,-41.05,145.91,20,76,44.38,6.42
45,Ketchikan,US,1570399932,55.34,-131.65,90,93,53.6,24.16
46,Punta Arenas,CL,1570399933,-53.16,-70.91,0,61,46.4,27.51
47,Trairi,BR,1570399935,-3.28,-39.27,19,72,76.78,6.58
48,Hofn,IS,1570399936,64.25,-15.21,100,99,38.38,4.76
49,Hobart,AU,1570399665,-42.88,147.33,40,58,54.0,8.05
50,Constitucion,MX,1570399939,23.99,-104.67,40,24,78.8,6.93
51,Provideniya,RU,1570399940,64.42,-173.23,0,74,35.6,4.47
52,Zeya,RU,1570399942,53.74,127.27,100,98,33.09,3.69
53,La Ronge,CA,1570399943,55.1,-105.3,75,46,53.6,17.22
54,Port Alfred,ZA,1570399855,-33.59,26.89,90,90,64.0,2.86
55,Nikolskoye,RU,1570399946,59.7,30.79,90,92,35.6,4.47
56,Santa Fe,AR,1570399909,-31.62,-60.7,0,39,70.0,8.01
57,Kongolo,CD,1570399948,-5.39,27.0,7,71,75.1,3.24
58,Georgetown,GY,1570399815,6.8,-58.16,20,79,84.2,6.93
59,Havre-Saint-Pierre,CA,1570399951,50.23,-63.6,75,81,44.6,3.36
60,Thompson,CA,1570399952,55.74,-97.86,90,87,44.6,10.29
61,Aswan,EG,1570399954,24.09,32.9,0,13,89.6,9.17
62,Cabedelo,BR,1570399955,-6.97,-34.84,20,78,77.0,8.05
63,Bethel,US,1570399956,60.79,-161.76,75,70,44.6,11.41
64,Esperance,AU,1570399826,-33.86,121.89,75,100,46.4,6.93
65,Saint-Philippe,CA,1570399959,45.36,-73.48,90,72,60.01,14.99
66,San Patricio,PY,1570399960,-26.98,-56.83,49,71,71.36,5.39
67,Longyearbyen,NO,1570399728,78.22,15.63,75,86,30.2,5.82
68,Airai,TL,1570399748,-8.93,125.41,0,63,68.68,3.11
69,Mar del Plata,AR,1570399841,-46.43,-67.52,100,39,57.35,26.15
70,Port Macquarie,AU,1570399918,-31.43,152.91,0,100,73.0,3.24
71,Vaini,IN,1570399967,15.34,74.49,32,94,73.5,1.72
72,Changji,CN,1570399741,32.07,116.17,97,84,55.43,6.78
73,Mahebourg,MU,1570399683,-20.41,57.7,20,78,73.99,12.75
74,Santa Isabel do Rio Negro,BR,1570399971,-0.41,-65.02,88,55,90.58,1.39
75,Bredasdorp,ZA,1570399973,-34.53,20.04,100,87,59.0,2.64
76,Arraial do Cabo,BR,1570399921,-22.97,-42.02,0,83,75.2,6.93
77,Victoria,BN,1570399754,5.28,115.24,75,88,78.8,5.46
78,Sorland,NO,1570399977,67.67,12.69,100,76,45.8,13.65
79,Tessalit,ML,1570399978,20.2,1.01,96,18,93.43,4.76
80,Neuquen,AR,1570399980,-38.95,-68.06,75,18,73.4,21.92
81,Victoria,BN,1570399981,5.28,115.24,75,88,78.8,5.46
82,Lebu,ET,1570399835,8.96,38.73,75,77,59.0,4.7
83,Naze,NG,1570399984,5.43,7.07,75,100,73.4,3.36
84,Coihaique,CL,1570399985,-45.58,-72.07,75,61,50.0,6.93
85,Isiro,CD,1570399986,2.77,27.62,100,97,68.82,2.75
86,Abomey-Calavi,BJ,1570399988,6.45,2.35,40,88,80.6,12.75
87,Tromso,NO,1570399858,69.65,18.96,75,86,41.0,29.97
88,Bowen,AU,1570399990,-20.01,148.25,40,100,75.99,2.24
89,Upernavik,GL,1570399930,72.79,-56.15,87,72,31.54,7.47
90,Iralaya,HN,1570399993,15.0,-83.23,58,61,88.6,6.71
91,Torbay,CA,1570399994,47.66,-52.73,20,70,46.0,6.93
92,Ossora,RU,1570399996,59.24,163.07,100,99,38.9,10.56
93,Gairatganj,IN,1570399997,23.42,78.24,38,83,72.53,1.01
94,Atuona,PF,1570399885,-9.8,-139.03,52,73,79.44,17.0
95,Hasaki,JP,1570400000,35.73,140.83,75,88,64.4,9.17
96,Shimoda,JP,1570400001,34.7,138.93,46,79,69.01,1.99
97,Carnarvon,ZA,1570400003,-30.97,22.13,0,15,61.39,5.03
98,Dongsheng,CN,1570400004,29.72,112.52,100,77,56.71,10.56
99,Touros,BR,1570400005,-5.2,-35.46,20,78,77.0,11.41
100,Hermanus,ZA,1570400007,-34.42,19.24,98,91,60.01,2.71
101,Partizanskoye,RU,1570400008,53.35,78.35,0,61,54.69,1.97
102,Saskylakh,RU,1570400010,71.97,114.09,85,97,18.71,0.45
103,Westport,US,1570400011,41.14,-73.36,90,77,70.0,13.87
104,Iqaluit,CA,1570399751,63.75,-68.52,75,86,37.4,10.29
105,Broken Hill,AU,1570400013,-31.97,141.45,28,67,57.2,8.05
106,Geraldton,CA,1570400015,49.72,-86.95,90,71,50.0,11.41
107,Pevek,RU,1570399939,69.7,170.27,97,80,26.95,4.45
108,Porbandar,IN,1570400018,21.64,69.61,0,75,82.27,10.11
109,Nikitinskiy,RU,1570400019,45.0,37.87,20,81,51.8,2.24
110,Orlik,PL,1570400020,53.95,17.74,0,93,37.99,3.36
111,Sur,OM,1570400022,22.57,59.53,0,67,81.42,12.19
112,Qaanaaq,GL,1570399863,77.48,-69.36,67,79,16.55,15.17
113,Albany,US,1570399938,42.65,-73.75,90,82,64.4,11.41
114,Arawa,ID,1570400026,-3.93,119.75,52,77,79.73,18.79
115,Buraydah,SA,1570400027,26.33,43.97,40,42,86.0,4.7
116,Cherskiy,RU,1570399895,68.75,161.3,0,84,15.16,5.93
117,Puerto Ayora,EC,1570400030,-0.74,-90.35,20,64,75.2,24.16
118,Nizhniy Ingash,RU,1570400032,56.2,96.53,93,95,36.2,5.7
119,Hilo,US,1570400033,19.71,-155.08,1,48,86.0,6.93
120,Ginda,IN,1570400035,30.69,78.49,100,82,52.24,3.27
121,Assiniboia,CA,1570400036,49.63,-105.99,0,39,56.26,21.85
122,Laela,TZ,1570399862,-8.57,32.05,31,60,68.08,5.97
123,Fare,PF,1570400039,-16.7,-151.02,100,84,76.76,19.39
124,Talas,KG,1570400040,42.52,72.24,100,44,52.21,1.5
125,Abonnema,NG,1570400041,4.71,6.79,75,100,73.4,3.36
126,Matadi,CD,1570400043,-5.83,13.46,100,78,77.73,6.29
127,Sayyan,YE,1570400044,15.17,44.32,82,63,70.19,2.59
128,Wenling,CN,1570400046,28.38,121.38,0,68,73.99,0.98
129,Bambous Virieux,MU,1570400047,-20.34,57.76,20,78,73.99,12.75
130,Chuy,UY,1570400048,-33.69,-53.46,0,77,56.83,7.83
131,Avera,US,1570399905,33.19,-82.53,20,45,86.0,10.29
132,Kununurra,AU,1570400051,-15.77,128.74,0,78,73.4,5.3
133,Izumo,JP,1570400052,35.37,132.75,75,82,62.6,11.41
134,Cardston,CA,1570400054,49.2,-113.32,1,37,57.2,33.33
135,Alugan,PH,1570400055,12.22,125.48,9,94,74.8,2.24
136,San Jose,HN,1570400057,14.25,-87.96,100,83,76.79,2.86
137,Comodoro Rivadavia,AR,1570400059,-45.87,-67.48,40,44,60.8,23.04
138,Severo-Kurilsk,RU,1570399915,50.68,156.12,0,77,44.86,22.64
139,Mahibadhoo,MV,1570400061,3.78,72.97,100,71,82.57,10.16
140,Tebingtinggi,ID,1570400062,3.33,99.16,99,92,73.97,2.37
141,Priladozhskiy,RU,1570400064,59.85,31.48,90,89,35.6,4.47
142,Batesville,US,1570399822,35.77,-91.64,90,69,84.2,10.29
143,Tiksi,RU,1570399902,71.64,128.87,94,94,21.08,4.14
144,Pozoblanco,ES,1570400068,38.38,-4.85,28,48,66.2,1.12
145,Milton Keynes,GB,1570400069,52.04,-0.76,90,93,57.2,11.41
146,Kaoma,ZM,1570400070,-14.8,24.8,100,30,79.71,5.46
147,Ambilobe,MG,1570400072,-13.19,49.05,0,65,76.25,12.03
148,Norman Wells,CA,1570400073,65.28,-126.83,20,55,39.2,11.41
149,Wamba,CD,1570400075,2.14,27.99,100,98,67.15,2.71
150,Uyuni,BO,1570400076,-20.46,-66.82,0,4,52.3,11.03
151,Les Cayes,HT,1570400077,18.19,-73.75,89,80,83.24,14.36
152,Kalmunai,LK,1570400079,7.42,81.82,100,89,75.21,1.97
153,Kaitangata,NZ,1570400080,-46.28,169.85,86,66,51.01,3.0
154,Santiago,PH,1570400082,16.69,121.54,32,97,69.13,0.13
155,Ostashkov,RU,1570400083,57.14,33.12,98,89,30.68,4.85
156,Teknaf,BD,1570400084,20.86,92.31,85,78,80.74,4.63
157,Buala,SB,1570400086,-8.15,159.59,94,79,80.93,5.59
158,Micheweni,TZ,1570400087,-4.97,39.83,2,79,78.14,8.37
159,Khatanga,RU,1570400089,71.98,102.47,3,95,19.93,7.94
160,Hithadhoo,MV,1570400090,-0.6,73.08,100,81,81.31,12.84
161,Bani Walid,LY,1570400091,31.76,14.0,6,46,62.3,0.4
162,Hun,BE,1570400093,50.34,4.87,75,93,53.01,4.7
163,Hrinova,SK,1570400094,48.58,19.53,40,88,35.6,1.12
164,Harper,US,1570400096,30.3,-99.24,1,30,95.0,4.52
165,Leningradskiy,RU,1570400097,69.38,178.42,57,76,25.01,8.97
166,Kavaratti,IN,1570400098,10.57,72.64,71,72,82.39,4.21
167,Castro,CL,1570400100,-42.48,-73.76,75,62,53.6,13.87
168,Bluff,AU,1570400101,-23.58,149.07,0,53,68.48,5.84
169,Stadtallendorf,DE,1570400103,50.83,9.02,75,87,46.99,3.36
170,Merauke,ID,1570400104,-8.49,140.4,68,83,79.06,19.3
171,Ibotirama,BR,1570400106,-12.18,-43.22,44,28,89.54,2.24
172,Lasa,CY,1570400107,34.92,32.53,20,73,73.4,4.7
173,Vilhena,BR,1570400063,-12.74,-60.15,100,84,74.11,7.29
174,Hay River,CA,1570399926,60.82,-115.79,75,76,48.2,10.29
175,Margate,AU,1570400112,-43.03,147.26,40,58,54.0,8.05
176,Yelniki,RU,1570400113,54.62,43.88,99,92,49.97,9.35
177,Davidson,CA,1570400114,51.26,-105.98,17,41,59.0,8.01
178,Talakan,RU,1570400116,50.29,130.28,100,64,43.98,7.87
179,Richards Bay,ZA,1570400117,-28.77,32.06,0,81,71.95,23.09
180,Kruisfontein,ZA,1570400118,-34.0,24.73,80,78,57.93,0.85
181,Aklavik,CA,1570400120,68.22,-135.01,75,59,35.6,10.29
182,Celestun,MX,1570400121,20.87,-90.4,33,71,83.6,8.7
183,Pierre,US,1570400122,44.37,-100.35,1,27,66.0,18.34
184,Itarema,BR,1570400124,-2.92,-39.92,0,70,78.4,13.2
185,Zhangye,CN,1570400125,38.94,100.46,94,72,45.2,1.14
186,Sinop,TR,1570400127,42.03,35.15,91,72,60.11,10.4
187,Kamenka,MD,1570400128,48.03,28.7,88,79,39.0,6.85
188,Beira,ES,1570400129,43.2,-8.36,0,100,61.0,4.7
189,Camargo,MX,1570400131,27.69,-105.17,12,40,84.05,3.49
190,Diu,IN,1570400132,20.71,70.98,0,86,75.23,7.81
191,Fortuna,US,1570399990,40.6,-124.16,1,49,82.99,13.87
192,Almaty,KZ,1570400135,43.24,76.95,20,81,50.0,6.71
193,Jumla,NP,1570400136,29.28,82.18,2,88,44.52,4.21
194,Marystown,CA,1570400137,47.17,-55.16,8,77,47.51,15.77
195,Half Moon Bay,US,1570400138,37.46,-122.43,40,24,86.0,3.36
196,Ust-Tsilma,RU,1570400140,65.44,52.15,100,97,28.68,2.51
197,Mogadishu,SO,1570399845,2.04,45.34,21,82,78.05,12.06
198,Mehamn,NO,1570400143,71.03,27.85,75,75,42.8,9.17
199,Ipoti,NG,1570400144,7.87,5.08,79,96,71.68,3.74
200,Talnakh,RU,1570400145,69.49,88.39,75,92,32.0,17.9
201,Xuzhou,CN,1570400147,34.27,117.18,100,90,51.11,5.75
202,Nikel,NO,1570400148,69.41,30.21,75,86,39.2,12.75
203,Chokurdakh,RU,1570400150,70.62,147.9,100,83,19.61,5.12
204,Lipari,IT,1570400055,38.47,14.95,40,77,70.0,12.17
205,Sao Filipe,CV,1570400153,14.9,-24.5,93,86,78.27,13.82
206,Dikson,RU,1570400154,73.51,80.55,100,73,24.68,28.36
207,Seymchan,RU,1570400155,62.93,152.39,14,75,10.7,2.93
208,San Cristobal,HN,1570400157,14.68,-86.92,65,57,83.17,1.54
209,Hobyo,SO,1570400158,5.35,48.53,100,69,80.56,17.45
210,Lindi,TZ,1570400160,-10.0,39.71,20,94,71.6,6.93
211,Sorong,ID,1570400161,-0.86,131.25,99,96,74.87,6.15
212,Cairns,AU,1570399888,-16.92,145.77,40,64,73.4,16.11
213,San Carlos de Bariloche,AR,1570400164,-41.13,-71.31,75,70,44.6,23.04
214,Dingle,PH,1570400165,11.0,122.67,49,92,74.47,7.11
215,At-Bashi,KG,1570400167,41.17,75.81,0,58,41.95,6.73
216,Lata,IN,1570400168,30.78,78.62,100,75,34.8,2.68
217,Tura,RU,1570400169,64.27,100.22,100,70,28.95,3.6
218,Basey,PH,1570400170,11.28,125.07,0,96,72.49,0.74
219,Hirara,JP,1570400172,24.8,125.28,20,88,75.2,4.7
220,Tuatapere,NZ,1570399930,-46.13,167.69,100,82,51.01,4.0
221,Koslan,RU,1570400175,63.46,48.9,100,95,31.6,2.82
222,Qaqortoq,GL,1570400176,60.72,-46.03,0,59,41.0,1.12
223,Sasykoli,RU,1570400177,47.55,47.0,100,46,60.7,7.05
224,Issenye,CM,1570400179,12.51,14.37,33,76,79.44,6.58
225,West Bay,CA,1570400180,49.34,-123.21,75,76,60.01,6.93
226,Los Llanos de Aridane,ES,1570400181,28.66,-17.92,75,69,73.4,16.11
227,Vanimo,PG,1570400183,-2.67,141.3,42,79,80.5,6.6
228,Zhigansk,RU,1570400184,66.77,123.37,100,97,27.13,6.26
229,Yarmouth,CA,1570400185,43.84,-66.12,75,71,55.4,11.41
230,Imbituba,BR,1570400187,-28.24,-48.67,75,82,64.4,11.41
231,Nador,MA,1570400188,35.17,-2.93,0,59,66.2,4.7
232,Oriental,MX,1570400190,19.38,-97.62,14,55,66.05,10.33
233,Chesma,RU,1570400191,53.81,60.65,44,51,46.25,3.8
234,Bintulu,MY,1570400192,3.17,113.03,90,100,73.4,5.82
235,Feijo,EC,1570400194,-3.63,-79.92,40,74,89.6,5.82
236,Lamont,CA,1570400195,53.76,-112.78,0,35,63.0,7.0
237,Saint George,GR,1570400011,39.45,22.34,75,82,60.8,5.12
238,Ilulissat,GL,1570400198,69.22,-51.1,100,80,35.6,10.29
239,Wanning,AT,1570400200,48.64,13.53,75,87,48.0,9.17
240,Zvishavane,ZW,1570400201,-20.32,30.05,0,32,66.8,5.21
241,Lagoa,PT,1570400202,37.14,-8.45,0,64,71.01,6.93
242,Hailin,CN,1570400204,44.57,129.38,0,74,33.43,0.76
243,Matagami,NG,1570400205,9.67,8.4,100,91,70.06,3.62
244,Poum,MK,1570400207,41.28,20.71,35,85,44.03,4.14
245,Palmer,AU,1570400208,-34.85,139.16,75,71,57.99,9.17
246,Mount Gambier,AU,1570400210,-37.83,140.78,40,100,44.6,8.05
247,Nizhniy Baskunchak,RU,1570400211,48.22,46.83,100,41,60.72,9.75
248,Nipawin,CA,1570400019,53.36,-104.02,20,37,55.4,19.46
249,Komsomolskiy,RU,1570400214,67.55,63.78,99,87,32.75,20.56
250,Teahupoo,PF,1570400215,-17.83,-149.27,75,74,80.6,9.17
251,Pisco,PE,1570400216,-13.71,-76.2,0,30,71.6,18.34
252,Hamilton,CA,1570400074,43.26,-79.87,75,72,69.8,13.87
253,Carballo,ES,1570400219,43.21,-8.69,0,100,61.0,4.7
254,Faanui,PF,1570400220,-16.48,-151.75,100,84,77.44,17.94
255,Rio Gallegos,AR,1570400222,-51.62,-69.22,75,39,48.2,21.92
256,Acapulco,MX,1570400223,16.86,-99.88,40,74,86.0,8.05
257,Katherine,AU,1570400225,-14.47,132.26,0,53,71.6,3.89
258,Laguna,BZ,1570400226,16.17,-88.94,40,59,89.6,4.7
259,Bikin,RU,1570400228,46.82,134.25,0,76,38.22,9.28
260,Brae,GB,1570400229,60.4,-1.35,44,81,51.8,20.8
261,Gejiu,CN,1570400230,23.36,103.16,1,94,55.37,1.59
262,Batagay-Alyta,RU,1570400232,67.8,130.41,92,95,8.3,0.31
263,Pavilosta,LV,1570400233,56.89,21.19,100,71,41.0,13.33
264,Klaipeda,LT,1570400234,55.72,21.12,0,100,33.8,2.24
265,Hualmay,PE,1570400236,-11.1,-77.61,0,89,61.24,16.15
266,Monywa,MM,1570400237,22.12,95.13,0,80,77.96,2.64
267,Floro,NO,1570400239,61.6,5.03,0,81,44.6,8.05
268,Rawson,AR,1570400240,-43.3,-65.11,67,25,66.8,39.06
269,Atherton,AU,1570400241,-17.27,145.48,40,64,73.4,16.11
270,Luanda,AO,1570400243,-8.83,13.24,75,73,77.0,13.87
271,Fenoarivo,MG,1570400244,-18.93,47.44,40,87,57.2,2.24
